"Path","LineNumber","Line"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.10_Fluid_Dynamics_Chaos\Code\02_Proof\Proof_3D_Performance.py","65","        ns.u += 0.1 * np.random.randn(*ns.u.shape)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.10_Fluid_Dynamics_Chaos\Code\02_Proof\Proof_3D_Performance.py","103","    uet.C += 0.1 * np.random.randn(*uet.C.shape)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.10_Fluid_Dynamics_Chaos\Code\03_Research\Research_3D_Comparison.py","151","    ns.u += 0.01 * np.random.randn(*ns.u.shape)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.10_Fluid_Dynamics_Chaos\Code\03_Research\Research_3D_Comparison.py","179","    uet.C += 0.01 * np.random.randn(nx, ny)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.10_Fluid_Dynamics_Chaos\Code\03_Research\Research_TurbulenceStress_Test.py","76","        self.engine.I += np.random.randn(self.size, self.size, self.size) * 0.1"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.11_Phase_Transitions\Code\01_Engine\Engine_Phase.py","84","        self.C = np.random.randn(nx, ny) * 0.01"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.11_Phase_Transitions\Code\01_Engine\Engine_Phase.py","143","            noise = np.random.randn(self.nx, self.ny) * np.sqrt("
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.11_Phase_Transitions\Code\04_Competitor\phase_solver.py","58","        self.C = np.random.randn(nx, ny) * 0.01"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.11_Phase_Transitions\Code\04_Competitor\phase_solver.py","99","            noise = np.random.randn(self.nx, self.ny) * np.sqrt("
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.11_Phase_Transitions\Code\04_Competitor\run_phase_experiment.py","68","    solver.C = np.random.randn(64, 64) * 0.01"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.13_Thermodynamic_Bridge\Code\01_Engine\Engine_Thermodynamics.py","157","        r = np.random.random() * self.E_total"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.13_Thermodynamic_Bridge\Code\01_Engine\Engine_Thermodynamics.py","188","        source_is_A = (np.random.random() * self.E_total) < self.E_A"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.13_Thermodynamic_Bridge\Code\01_Engine\Engine_Thermodynamics.py","195","            target_idx = np.random.randint(0, self.N_A + self.N_B)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.13_Thermodynamic_Bridge\Code\01_Engine\Engine_Thermodynamics.py","203","            target_idx = np.random.randint(0, self.N_A + self.N_B)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.14_Complex_Systems\Code\01_Engine\Engine_Complexity.py","93","        rx, ry = np.random.randint(0, self.nx), np.random.randint(0, self.ny)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.14_Complex_Systems\Code\01_Engine\Engine_Econophysics.py","118","            change = np.random.normal(0, vol) * 0.1  # Scaling"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.18_Quantum_Computing\Code\01_Engine\Engine_Quantum_Logic.py","150","        res_idx = np.random.choice(range(len(probs)), p=probs)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.18_Quantum_Computing\Code\03_Research\Research_P_vs_NP_Scaling.py","48","        target_idx = np.random.randint(0, n)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.20_Atomic_Physics\Data\Download_NIST.py","8","This script fetches real experimental data to replace synthetic random generation."
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\01_Engine\Engine_Biophysics.py","74","            C = np.random.normal(0.5, 0.2, self.nx)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\01_Engine\Engine_Biophysics.py","96","        Generate synthetic EEG-like signal based on state."
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\01_Engine\Engine_Biophysics.py","101","            signal = 10 * np.sin(2 * np.pi * 10 * t) + 8 * np.random.randn(len(t))"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\01_Engine\Engine_Biophysics.py","103","            signal = 50 * np.sin(2 * np.pi * 3 * t) + 2 * np.random.randn(len(t))"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\01_Engine\Engine_Biophysics.py","105","            signal = 30 * np.sin(2 * np.pi * 1 * t) + 5 * np.random.randn(len(t))"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\01_Engine\Engine_Biophysics.py","125","        C = np.random.rand(self.nx)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_Biomarker_Identification.py","25","    data = np.random.normal(5, 0.5, (50, samples))"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_Biomarker_Identification.py","28","    data[7] = np.random.normal(5, 2.5, samples)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_Biomarker_Identification.py","29","    data[23] = np.random.normal(5, 3.0, samples)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_Cancer_Cell_Chaos.py","45","    # NO SHADOW MATH (np.random/arbitrary thresholds removed)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_Clinical_Strategy_Comparison.py","22","    initial_cancer_load = np.random.uniform(0.5, 0.8, patients)  # High entropy"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_Clinical_Strategy_Comparison.py","29","    systemic_stress_a = np.random.uniform(0.2, 0.4, patients)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_Clinical_Strategy_Comparison.py","37","    systemic_stress_b = np.random.uniform(0.05, 0.15, patients)  # Lower stress"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_HighFidelity_Tissue_Grid.py","27","    tissue[center - 2 : center + 2, center - 2 : center + 2] = np.random.uniform("
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_HighFidelity_Tissue_Grid.py","32","    tissue[2:4, grid_size - 4 : grid_size - 2] = np.random.uniform(0.3, 0.45, (2, 2))"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_HighFidelity_Tissue_Grid.py","48","                    neighbor_noise = np.random.uniform(0.01, 0.05)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_HighFidelity_Tissue_Grid.py","62","        tx, ty = np.random.randint(0, grid_size, 2)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_HighFidelity_Tissue_Grid.py","65","            if np.random.rand() < 0.7:  # Kill probability"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_Neural_Seizure.py","32","        self.state = np.random.random(size)  # Random initial state (Normal)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_Neural_Seizure.py","45","        self.state += np.random.normal(0, 0.01, self.state.shape)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_TCell_Immunity.py","24","    cell_signatures = np.random.uniform(0.7, 1.0, num_cells)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_TCell_Immunity.py","26","        cell_signatures[idx] = np.random.uniform(0.1, 0.35)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_TCell_Immunity.py","47","            if np.random.rand() < t_cell_efficacy:"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_TCGA_Entropy_Map.py","31","    normal_data = np.random.normal(10, 1, (genes, normal_samples))"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\03_Research\Research_TCGA_Entropy_Map.py","33","    tumor_data = np.random.normal(10, 5, (genes, tumor_samples))"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\04_Competitor\Competitor_Cancer_Models.py","48","    normal_data = np.random.normal(10, 1, 1000)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.22_Biophysics_Origin_of_Life\Code\04_Competitor\Competitor_Cancer_Models.py","49","    tumor_data = np.random.normal(10, 5, 1000)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.23_Unity_Scale_Link\Code\01_Engine\Engine_Unity_Scale.py","74","                    + 0.3 * np.random.randn(n)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.23_Unity_Scale_Link\Code\01_Engine\Engine_Unity_Scale.py","79","                C = np.random.randn(n)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.23_Unity_Scale_Link\Code\01_Engine\Engine_Unity_Scale.py","83","                C = np.cumsum(0.01 * np.random.randn(n)) + 100"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.23_Unity_Scale_Link\Code\01_Engine\Engine_Unity_Scale.py","85","                C = np.cumsum(0.1 * np.random.randn(n)) + 100"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.23_Unity_Scale_Link\Code\01_Engine\Engine_Unity_Scale.py","89","        return np.random.randn(n)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.23_Unity_Scale_Link\Code\03_Research\Research_Cross_Domain.py","105","def generate_synthetic_galaxy_field(n: int = 100) -> np.ndarray:"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.23_Unity_Scale_Link\Code\03_Research\Research_Cross_Domain.py","284","    galaxy = generate_synthetic_galaxy_field()"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.24_Artificial_Intelligence\Code\01_Engine\UET_AI_Core.py","62","        self.W1 = np.random.randn(input_size, hidden_size) * np.sqrt(2 / input_size)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.24_Artificial_Intelligence\Code\01_Engine\UET_AI_Core.py","64","        self.W2 = np.random.randn(hidden_size, output_size) * np.sqrt(2 / hidden_size)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.24_Artificial_Intelligence\Code\03_Research\Research_SimpleLM_UET.py","74","np.random.seed(42)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.24_Artificial_Intelligence\Code\03_Research\Research_SimpleLM_UET.py","75","W = np.random.randn(vocab_size, vocab_size) * 0.01"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.24_Artificial_Intelligence\Code\03_Research\Research_SimpleLM_UET.py","102","        next_idx = np.random.choice(vocab_size, p=probs)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.25_Strategy_Power_Economics\Code\01_Engine\Engine_Power_Dynamics.py","175","        wealth_distribution = np.random.lognormal("
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.25_Strategy_Power_Economics\Code\01_Engine\Engine_Power_Dynamics.py","444","            noise = np.random.normal(0, 0.05) * friction"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.25_Strategy_Power_Economics\Code\03_Research\Research_Global_Scale_8B.py","29","        a.intellect_level = np.random.randint(0, 3)  # Low baseline"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.25_Strategy_Power_Economics\Code\03_Research\Research_Intellect_Economics.py","29","        a.intellect_level = np.random.randint(0, 2)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.25_Strategy_Power_Economics\Code\03_Research\Research_Intellect_Economics.py","44","        a.intellect_level = np.random.randint(4, 6)"
"C:\Users\santa\Desktop\lad\Lab_uet_harness_v0.8.7\research_uet\topics\0.2_Black_Hole_Physics\Code\03_Research\Research_EHT_Validation.py","193","        Z = np.exp(-((R - 5) ** 2) / 2) + np.random.normal(0, 0.05, X.shape)"
